"lang" 
{ 
	"Language" "czech" 
	"Tokens" 
	{
		"Citadel_Dashboard_BuildVersion"	"Build {d:buildNumber} – {s:buildTime}"
		"Citadel_RemoveFriend_ConfirmTitle"							"Odebrat z přátel"
		"Citadel_RemoveFriend_ConfirmBody"							"Opravdu chceš uživatele {g:dac_persona:b:account_id} odebrat z přátel?"

		"Citadel_CancelFriendInvite_Title"							"Odebírání z přátel"
		"Citadel_CancelFriendInvite_Body"							"Čekej prosím"
		"Citadel_CancelFriendInvite_ErrorTitle"						"Chyba"
		"Citadel_CancelFriendInvite_ErrorBody"						"V tuto chvíli se nepodařilo zrušit tuto žádost. Zkus to později znovu."
		"Citadel_CancelFriendInvite_ConfirmTitle"					"Zrušit pozvánku"
		"Citadel_CancelFriendInvite_ConfirmBody"					"Opravdu chceš zrušit žádost o přátelství uživatele {g:dac_persona:b:account_id}? Pokud tak učiníš, příštích několik dnů mu nebudeš moci poslat novou žádost."

		"Citadel_IgnoreFriendInvite_Title"							"Ignorování žádosti"
		"Citadel_IgnoreFriendInvite_Body"							"Čekej prosím"
		"Citadel_IgnoreFriendInvite_ErrorTitle"						"Chyba"
		"Citadel_IgnoreFriendInvite_ErrorBody"						"V tuto chvíli se nepodařilo ignorovat tuto žádost. Zkus to později znovu."
		"Citadel_IgnoreFriendInvite_ConfirmTitle"					"Ignorovat žádost"
		"Citadel_IgnoreFriendInvite_ConfirmBody"					"Opravdu chceš ignorovat tuto žádost od uživatele {g:dac_persona:b:account_id}?"

		// Pause
		"Citadel_PauseMsg_CantPause"								"Nemůžeš pozastavit zápas."
		"Citadel_PauseMsg_NoPausesLeft"								"Nemáš žádné zbývající pauzy."
		"Citadel_PauseMsg_CantPauseYet"								"Zápas bude možné pozastavit za {i:value} sekund."
		"Citadel_PauseMsg_PauseCountdown"							"{s:player} pozastaví zápas za {i:value}..."
		"Citadel_PauseMsg_Paused"									"{s:player} pozastavil zápas."
		"Citadel_PauseMsg_UnpauseCountdown"							"Opětovné spuštění za {i:value}..."
		"Citadel_PauseMsg_Unpaused"									"{s:player} opět spustil zápas."
		"Citadel_PauseMsg_AutoUnpaused"								"Zápas byl znovu automaticky spuštěn."
		"Citadel_PauseMsg_YouPaused"								"Pozastavil jsi zápas. Můžeš ho pozastavit ještě {i:value}×."
		"Citadel_PauseMsg_CantUnpauseTeam"							"Jsi v týmu, který ještě nemůže znovu spustit zápas."
		"Citadel_PauseMsg_UnpauseButton"							"Stiskem [{s:key_pause}] opětovně spustíš zápas"

		"Citadel_Hud_MovementSpeed"									"Rychlost pohybu: "
		"Citadel_Hud_ApPointsButton"								"<span class=\\'apPointsNumber\\'>{i:ap_points_required}</span>"

		"Citadel_Hud_KillFeedPlayerDeath"							"{s:killer_name} získal <span class=\"yellowGold\">{i:bounty_amount}</span>"
		//"Citadel_HUD_LevelUpLocalPlayerMessage"						"You've Reached"
		//"Citadel_HUD_LevelUpSpectatingPlayerMessage"				"{s:leveled_up_hero_name} has Reached"
		"Citadel_HUD_LevelUpAbilityUnlocksAnnouncement"				"Odemčení schopnosti"
		"Citadel_HUD_LevelUpUltimateAbilityUnlocked"				"Odemčení ultimátní schopnosti"
		"Citadel_HUD_LevelUpAbilityPointAnnouncement"				"Bod schopnosti"
		"Citadel_HUD_PatronBoon"									"Dar od tvého patrona..."
		"Citadel_HUD_PowerIncrease"									"Navýšení síly"
		"Citadel_HUD_WeaponPowerAnnouncement"						"Balistické poškození a poškození úderů"
		"Citadel_HUD_PlayerKilledAnnouncement"						"&nbsp;získal <span class=\"dataFeedClass\">{i:param_1}</span> "
		"Citadel_HUD_PlayerKilledSelfAnnouncement"					"&nbsp;zabil sám sebe "
		"Citadel_HUD_PlayerLostGoldAnnouncement"					"&nbsp;přišel o <span class=\"dataFeedClass\">{i:param_1}</span> "
		"Citadel_HUD_RejuvCaptured"									"Sebral kámen života"
		"Citadel_HUD_RejuvStolen"									"Ukradl kámen života!"
		"Citadel_HUD_IdolPickedUp"									"Sebral urnu duší!"
		"Citadel_HUD_IdolReturned"									"Uložil urnu duší!"
		"Citadel_HUD_DamageSummary_Title"							"<i>Utržené</i> poškození"
		"Citadel_HUD_DamageSummary_Hint"							"Podržením <span class=\"keybind\">[{s:key_extra_info}]</span> zjistíš dopady statistik"

		"Citadel_Hud_KillFeedNone"									"<Nic>"
		"Citadel_Hud_KillFeedTrooper"								"Pěšák č. {i:unit_num}"
		"Citadel_Hud_KillFeedSuperNeutral"							"Hlídač chrámu"
		"Citadel_Hud_KillFeedNeutral"								"Neutrál č. {i:unit_num}"
		"Citadel_Hud_KillFeedSentry"								"Střílna"
		"Citadel_Hud_KillFeedGuardian"								"Strážce"
		"Citadel_Hud_KillFeedAllGuardians"							"Nepřátelští strážci"
		"Citadel_Hud_KillFeedBarracksBoss"							"Strážci základny"
		"Citadel_Hud_KillFeedWalker"								"Chodec"
		"Citadel_Hud_KillFeedAllWalkers"							"Nepřátelští chodci"
		"Citadel_Hud_KillFeedShieldName"							"Svatyně"
		"Citadel_Hud_KillFeedTitan"									"Patron"
		"Citadel_Hud_KillFeedEnemyGuardian"							"Nepřátelský strážce"
		"Citadel_Hud_KillFeedEnemyWalker"							"Nepřátelský chodec"
		"Citadel_Hud_KillFeedEnemyBarracksGuardian"					"Nepřátelský strážce základny"
		"Citadel_Hud_KillFeedFriendlyBarracksGuardian"				"Spojenecký strážce základny"
		"Citadel_Hud_KillFeedEnemyTitan"							"Nepřátelský patron"
		"Citadel_Hud_KillFeedFriendlyGuardian"						"Spojenecký strážce"
		"Citadel_Hud_KillFeedFriendlyWalker"						"Spojenecký chodec"
		"Citadel_Hud_KillFeedFriendlyTitan"							"Spojenecký patron"
		"Citadel_Hud_KillFeedFriendlyShield"						"Spojenecká svatyně"
		"Citadel_Hud_KillFeedEnemyShield"							"Nepřátelská svatyně"
		"Citadel_Hud_KillFeedVehicle"								"Vozidlo"
		"Citadel_Hud_KillFeedWorld"									"Mapa"

		"Objective_MidBoss"											"Hlídač chrámu"

		"Objective_Friendly_T1"									"Spojenecký strážce"
		"Objective_Enemy_T1"									"Nepřátelský strážce"
		"Objective_Team1_T1"									"Jantarový strážce"
		"Objective_Team2_T1"									"Safírový strážce"

		"Objective_Friendly_T2"									"Spojenecký chodec"
		"Objective_Enemy_T2"									"Nepřátelský chodec"
		"Objective_Team1_T2"									"Jantarový chodec"
		"Objective_Team2_T2"									"Safírový chodec"

		"Objective_Friendly_T3"									"Spojenecký patron"
		"Objective_Enemy_T3"									"Nepřátelský patron"
		"Objective_Team1_T3"									"Jantarový patron"
		"Objective_Team2_T3"									"Safírový patron"

		"Objective_Friendly_BarrackBoss"						"Spojenecký strážce základny"
		"Objective_Enemy_BarrackBoss"							"Nepřátelský strážce základny"
		"Objective_Team1_BarrackBoss"							"Jantarový strážce základny"
		"Objective_Team2_BarrackBoss"							"Safírový strážce základny"

		"Objective_Friendly_ShieldGenerator"						"Spojenecká svatyně"
		"Objective_Enemy_ShieldGenerator"							"Nepřátelská svatyně"
		"Objective_Team1_ShieldGenerator"							"Jantarová svatyně"
		"Objective_Team2_ShieldGenerator"							"Safírová svatyně"
		
		"Objective_Friendly_Final"						"Spojenecký patron (oslabený)"
		"Objective_Enemy_Final"							"Nepřátelský patron (oslabený)"
		"Objective_Team1_Final"							"Jantarový patron (oslabený)"
		"Objective_Team2_Final"							"Safírový patron (oslabený)"

		"Objective_Message_Patron_Transforming" 		"Patron se proměňuje..."
		"Objective_Message_MidBoss_OutOfRange"			"Mimo dosah"

		"Citadel_Team1_Name"							"Jantarová dlaň"
		"Citadel_Team2_Name"							"Safírový plamen"

		"Citadel_Mod_Tooltip_Passive"									"Pasivní schopnost"
		"Citadel_Mod_Tooltip_Active"									"Aktivní schopnost"
		"Citadel_Mod_Tooltip_Innate"									"Vrozená schopnost"

		"Citadel_Hud_TopbarPlayerNetworthPlayerLow"						"{i:gold}"
		"Citadel_Hud_TopbarPlayerNetworthPlayerMed"						"{i:thousands_gold},{i:hundred_gold}<span class=\"demote\"> tis.</span>"
		"Citadel_Hud_TopbarPlayerNetworthPlayerHigh"					"{i:thousands_gold}<span class=\"demote\"> tis.</span>"
		"Citadel_Hud_TopbarPlayerNetworth"								"{i:thousands_gold}<span class=\"demote\"> tis.</span>"

		"Citadel_HUD_AbilityUnlockAvailable"						"Podržením <span class=\"keybind\">[{s:key_extra_info}]</span> odemkni schopnost"
		"Citadel_HUD_AbilityUpgradeAvailable"						"Podržením <span class=\"keybind\">[{s:key_extra_info}]</span> vylepši schopnost"
		"Citadel_HUD_AbilityUnlock_Button"							"Odemknout"


		"Citadel_HUD_JoinTeamChat_Dialog"							"Podržením <span class=\"keybind\">[{s:key_voice_record}]</span> vstoupíš do týmového chatu"


		"Citadel_HUD_Damage_TooFar"									"Příliš daleko"
		"Citadel_HUD_Damage_Invulnerable"							"Má štít"
		"Citadel_HUD_Damage_NoTroopers"								"Potřebuješ pěšáky"
		"Citadel_HUD_Damage_Resistant"								"Má odolnost"
		"Citadel_HUD_Damage_NotInMidPit"							"Nejsi v jámě"
		"Citadel_HUD_Damage_NotInTier3Pit"							"Nejsi v jámě"

		"Citadel_DamageType_CITADEL_DAMAGETYPE_ABILITY"				"Spirituální poškození"
		"Citadel_DamageType_CITADEL_DAMAGETYPE_BULLET"				"Fyzické poškození"
		"Citadel_DamageType_CITADEL_DAMAGETYPE_ENVIRONMENTAL"		"Environmentální poškození"
		"Citadel_DamageType_CITADEL_DAMAGETYPE_MELEE"				"Poškození úderů"
		"Citadel_DamageType_CITADEL_DAMAGETYPE_POISON"				"Poškození jedem"

		"Citadel_AttackerClass_CLASS_TROOPER"						"Pěšák"
		"Citadel_AttackerClass_CLASS_TROOPER_NEUTRAL"				"Neutrál"
		"Citadel_AttackerClass_CLASS_TROOPER_BOSS"					"Strážce (1. úroveň)"
		"Citadel_AttackerClass_CLASS_BOSS_BARRACKS"					"Strážci základny"
		"Citadel_AttackerClass_CLASS_BOSS_TIER_2"					"Chodec (2. úroveň)"
		"Citadel_AttackerClass_CLASS_BOSS_TIER_3"					"Patron"
		"Citadel_AttackerClass_CLASS_SUPER_NEUTRAL"					"Hlídač chrámu"
		"Citadel_AttackerClass_CLASS_ZAP_TRIGGER"					"Elektřina"

		"Citadel_HUD_DamageReport_Title"							"Analýza poškození"
		"Citadel_HUD_DamageReport_DamageReceived"					"Utržené poškození"
		"Citadel_HUD_DamageReport_DamageDealt"						"Udělené poškození"
		"Citadel_HUD_DamageReport_TopDamageSources"					"{i:num_damage_rows} hlavních zdrojů poškození"
		"Citadel_HUD_DamageReport_ShowMore"							"Zobrazit více"
		
		"Citadel_HUD_DamageReport_LastRespawn"						"Aktuální život"
		"Citadel_HUD_DamageReport_Time600"							"10 minut"
		"Citadel_HUD_DamageReport_Time300"							"5 minut"
		"Citadel_HUD_DamageReport_Time180"							"3 minuty"
		"Citadel_HUD_DamageReport_Time60"							"1 minuta"
		"Citadel_HUD_DamageReport_Time30"							"30 sekund"
		"Citadel_HUD_DamageReport_AbilitySummary"					"{s:ability_summary}"
		"Citadel_HUD_DamageReport_HeroDamageReceived"				"Poškození utržené od hrdiny"
		"Citadel_HUD_DamageReport_AllHeroDamageReceived"			"Poškození utržené od všech hrdinů"
		"Citadel_HUD_DamageReport_HeroDamageDealt"					"Poškození udělené hrdinovi"
		"Citadel_HUD_DamageReport_AllHeroDamageDealt"				"Poškození udělené všem hrdinům"
		"Citadel_HUD_DamageReport_Total"							"Celkové poškození:"
		"Citadel_HUD_DamageReport_TotalTaken"						"Poškození utržené od hrdinů:"
		"Citadel_HUD_DamageReport_TotalDamageValue"					"{d:total_damage}"
		"Citadel_HUD_DamageReport_DamagePercentWeapon"				"{i:weapon_damage_percent} %"
		"Citadel_HUD_DamageReport_DamagePercentAbility"				"{i:ability_damage_percent} %"

		"Citadel_HUD_Impact_Kill"									"Zabití"
		"Citadel_HUD_Impact_Assist"									"Asistence"		

		"Citadel_PartyChat_Title"									"Chat skupiny"
		"Citadel_PartyChat_VoiceAndText"							"Hlasový a textový chat"
		"Citadel_PartyChat_PlayerCount"								"Hráči: {i:players_in_team_chat}"
		"Citadel_PartyChat_InGameOnly"								"Pouze v zápase"
		"Citadel_ChatType_Disabled"									"Zakázán"
		"Citadel_ChatType_AllTeam"									"Celý tým"
		"Citadel_ChatType_PartyOnly"								"Pouze skupina"
		
		"Citadel_HUD_DamageRows_DamageName"							"{s:damage_name}"
		"Citadel_HUD_DamageRows_DamageValue"						"{i:damage_done}"
		"Citadel_HUD_DamageRows_Hits"								"({i:hit_count} zásahů)"

		"Citadel_Tip_0"												"Toto je tip."
		"Citadel_Tip_1"												"Toto je jiný tip."
		"Citadel_Tip_2"												"Toto není tip. Nebo možná je."
		"Citadel_Tip_4"												"Znič patrona a zvítězíš."

		"Citadel_PlayerContextMenu_InviteToParty"					"Pozvat do skupiny"
		"Citadel_PlayerContextMenu_SpectateGame"					"Sledovat zápas"
		"Citadel_PlayerContextMenu_AcceptFriendRequest"				"Přijmout žádost o přátelství"
		"Citadel_PlayerContextMenu_IgnoreFriendRequest"				"Ignorovat žádost o přátelství"
		"Citadel_PlayerContextMenu_PartyLeave"						"Opustit skupinu"
		"Citadel_PlayerContextMenu_PartyKick"						"Vyhodit ze skupiny"
		"Citadel_PlayerContextMenu_PartyCancelInvite"				"Zrušit pozvánku do skupiny"
		"Citadel_PlayerContextMenu_PartySwitchPlayer"				"Změnit na hráče"
		"Citadel_PlayerContextMenu_PartySwitchSpectator"			"Změnit na diváka"
		"Citadel_PlayerContextMenu_PartyCreateWith"					"Vytvořit skupinu"
		"Citadel_PlayerContextMenu_RemoveFriend"					"Odebrat z přátel"
		"Citadel_PlayerContextMenu_CancelFriendInvite"				"Zrušit žádost o přátelství"
		"Citadel_PlayerContextMenu_AddFriend"						"Odeslat žádost o přátelství"
		"Citadel_PlayerContextMenu_ViewProfile"						"Zobrazit profil"
		"Citadel_PlayerContextMenu_EmptyMenu"						"–"

		"Citadel_PlayerCard_FavoriteHero"							"Oblíbený hrdina"

		"Citadel_Party_Context_Invite"								"Pozvat přátele"
		"Citadel_Party_Context_Open"								"Otevřít skupinu"
		"Citadel_Party_Context_Close"								"Zavřít skupinu"
		"Citadel_Party_Context_CopyCode"							"Kopírovat kód skupiny"
		"Citadel_Party_Context_ShowCode"							"Zobrazit kód skupiny"
		"Citadel_Party_Context_HideCode"							"Skrýt kód skupiny"
		"Citadel_Party_SentInvite"									"Pozvánka byla odeslána"
		"Citadel_Party_Leave"										"Opustit skupinu"
		"Citadel_Party_Report"										"Nahlásit"
		"Citadel_Party_Reported"									"Nahlášen"

		"Citadel_Main_EarlyDevBuild"								"Raný vývojový build"
		"Citadel_Main_ViewProfile"									"Zobrazit profil"
		"Citadel_Main_PlayMode"										"Vyber herní mód:"

		"Citadel_Playtest_Status"									"Stav:"
		"Citadel_Playtest_Upcoming"									"Testování začíná v {t:l:t:m:playtest_start}"
		"Citadel_Playtest_MatchmakingOpen"							"Vyhledávání zápasů je otevřené do {t:t:playtest_end}"
		"Citadel_Playtest_MatchmakingPaused"						"Vyhledávání zápasů je v tuto chvíli pozastaveno: {t:d:unranked_mm_pause_time}"
		"Citadel_Playtest_Schedule"									"Vyhledávání zápasů:"
		"Citadel_Playtest_Region"									"Region: {s:region_name}"
		"Citadel_Playtest_Weekdays"									"Od pondělí do čtvrtka"
		"Citadel_Playtest_Weekends"									"Od pátku do neděle"
		"Citadel_Playtest_LocalTime"								"místního času"
		"Citadel_Playtest_DiscordInfo"								"Připoj se na náš Discord, kde můžeš chatovat s ostatními hráči."
		"Citadel_Playtest_DiscordButton"							"Připojit se"
		"Citadel_Playtest_RecommendInfo"							"Máš přátele, kteří by se také chtěli zúčastnit testování?"
		"Citadel_Playtest_RecommendButton"							"Pozvi je"
		"Citadel_Playtest_CreateAccountsTitle"						"Řekni nám svůj názor a připoj se ke komunitě"
		"Citadel_Playtest_CreateAccountsBody"						"Vytvoř si účet ve fóru a poskytni nám svoji zpětnou vazbu na hru. Nebo se připoj na náš Discord, kde můžeš chatovat s ostatními hráči."
		"Citadel_Playtest_JoinForum"								"Získat přístup do fóra"
		"Citadel_Playtest_JoinedForum"								"Už máš přístup do fóra"
		"Citadel_Playtest_JoinDiscord"								"Připojit se na Discord"
		"Citadel_Playtest_JoinedDiscord"							"Už ses připojil na Discord"

		"Citadel_StartMatchmaking_ErrorTitle"						"Chyba"
		"Citadel_StartMatchmaking_AlreadyFindingMatch"				"Nelze zahájit vyhledávání zápasu, protože už ho vyhledáváš."
		"Citadel_StartMatchmaking_PartyMemberInLobby"				"Nelze zahájit vyhledávání zápasu, protože už se v jednom nacházíš. Nejprve z tohoto zápasu odejdi."
		"Citadel_StartMatchmaking_InvalidClientVersion"				"Nelze zahájit vyhledávání zápasu, protože tvůj herní klient je zastaralý. Restartuj a aktualizuj ho."
		"Citadel_StartMatchmaking_MatchmakingDisabled"				"Vyhledávání zápasů tohoto módu je v tuto chvíli zakázáno. Zkus to znovu za pár minut."
		"Citadel_StartMatchmaking_MatchmakingTooBusy"				"Vyhledávání zápasů je v tuto chvíli příliš vytížené. Zkus to znovu za pár minut."
		"Citadel_StartMatchmaking_InternalError"					"Při pokusu o zahájení vyhledávání zápasu došlo k vnitřní chybě."
		"Citadel_StartMatchmaking_FailedToGetResponse"				"Nepodařilo se navázat spojení se sítí hry Deadlock a zahájit vyhledávání zápasu. Zkus to znovu za pár minut."
		"Citadel_StartMatchmaking_InvalidParty"						"Tato skupina byla rozpuštěna a nemůže zahájit vyhledávání zápasu."
		"Citadel_StartMatchmaking_InvalidPartyPermissions"			"Nemáš oprávnění zahajovat vyhledávání zápasů pro tuto skupinu."
		"Citadel_StartMatchmaking_PartyMatchMaking"					"Tato skupina už zahájila vyhledávání zápasu."
		"Citadel_StartMatchmaking_PartyMemberInMatch"				"Momentálně se nacházíš v zápase, a než se budeš moci připravit, musíš z něj odejít."
		"Citadel_StartMatchmaking_PartyMemberInvalidClientVersion"	"Člen tvojí skupiny používá zastaralou verzi herního klienta a před zahájením vyhledávání zápasu ho bude muset aktualizovat."
		"Citadel_StartMatchmaking_PartyMemberNotReady"				"Člen tvojí skupiny momentálně není připravený zahájit vyhledávání zápasu."
		"Citadel_StartMatchmaking_CannotSelectRegion"				"Nepodařilo se vybrat region pro vyhledávání zápasu."
		"Citadel_StartMatchmaking_PartyMemberNotAvailable"			"Ne všichni členové skupiny byli nalezeni online nebo dostupní pro vyhledávání zápasu."
		"Citadel_StartMatchmaking_TooManyPlayers"					"V této skupině je příliš mnoho hráčů, takže není možné zahájit vyhledávání zápasu tohoto módu."
		"Citadel_StartMatchmaking_TooManySpectators"				"V této skupině je příliš mnoho diváků, takže není možné zahájit vyhledávání zápasu tohoto módu."
		"Citadel_StartMatchmaking_TooFewPlayers"					"V této skupině není dostatek hráčů, takže není možné zahájit vyhledávání zápasu tohoto módu."
		"Citadel_StartMatchmaking_InvalidPartyMatchMode"			"Tento herní mód není možné hrát se skupinou."
		"Citadel_StartMatchmaking_NotAllPlayersCanPlayRanked"		"Ne všichni členové skupiny mají odemčené vyhledávání hodnocených zápasů, takže tento herní mód není dostupný."
		"Citadel_StartMatchmaking_PlayerBannedFromMode"				"Člen této skupiny je momentálně zabanován v tomto herním módu."
		"Citadel_StartMatchmaking_ModeLocked"						"Tento herní mód jsi prozatím neodemkl."
		"Citadel_StartMatchmaking_ModeBanned"						"V tomto herním módu jsi dočasně zabanován. Ban vyprší {t:s:time_stamp} v {t:t:time_stamp}."
		"Citadel_StartMatchmaking_PermanentBan"						"V tomto herním módu jsi permanentně zabanován."
		"Citadel_StartMatchmaking_TooManyPlayersOnTeam"				"Příliš mnoho hráčů v jednom týmu."
		"Citadel_StartMatchmaking_UnableToFillTeam"					"Nepodařilo se vytvořit platné týmy na základě aktuálních týmů hráčů."
		"Citadel_StartMatchmaking_InvalidTeam"						"Člen skupiny má vybraný tým, který v tomto herním módu není platný."
		"Citadel_StartMatchmaking_RankedLocked1"					"Pro odemčení hodnocených zápasů musíš odehrát ještě {i:games_needed_to_unlock_ranked} nenáročný zápas."
		"Citadel_StartMatchmaking_RankedLockedPlural"				"Pro odemčení hodnocených zápasů musíš odehrát ještě {i:games_needed_to_unlock_ranked} nenáročné zápasy."
		"Citadel_StartMatchmaking_InParty"							"Jsi členem skupiny, takže nemůžeš zahájit sólové vyhledávání zápasu."
		"Citadel_StartMatchmaking_InvalidHeroSelection"				"Nevybral jsi platné hrdiny pro zahájení vyhledávání zápasu."
		"Citadel_StartMatchmaking_HeroRosterTooPopular"				"Tvoje soupiska nezahrnuje žádné hrdiny, kteří ještě nejsou použiti."
		"Citadel_StartMatchmaking_NoRegionPings"					"Nepodařilo se navázat spojení s žádným převaděčem sítě Steam Datagram Relay. Pokud jsi připojený k internetu, tato chyba je nejspíš způsobena problémem s firewallem nebo MTU tvého připojení."
		"Citadel_StopMatchMaking_FailedToGetResponse"				"Vyhledávání zápasu bylo zastaveno, protože se nepodařilo získat odpověď od sítě hry."
		"Citadel_StopMatchMaking_GeneralError"						"Vyhledávání zápasu se nezdařilo. Zkus to znovu."
		"Citadel_LeaveLobby_FailedToGetResponse"					"Nepodařilo se zastavit vyhledávání zápasu. Zkus to znovu."
		"Citadel_AlreadyInGame"										"Nepodařilo se zahájit vyhledávání zápasu, protože už se v jednom nacházíš. Nejprve tedy odejdi ze svého aktuálního zápasu."
		"Citadel_Dashboard_Matchmaking_SearchingForMatch"			"Vyhledávání zápasu"
		"Citadel_Dashboard_Matchmaking_SearchingForBotMatchPlayers"	"KOOPERATIVNÍ ZÁPAS S BOTY – Čeká se na hráče"
		"Citadel_Dashboard_Matchmaking_SearchingForBotMatchTime"	"KOOPERATIVNÍ ZÁPAS S BOTY – Zápas bude zahájen za {s:coop_time_remaining}"
		"Citadel_Dashboard_Matchmaking_UsersInQueue"				"{s:users_in_queue} ve vyhledávání"
		"Citadel_Dashboard_Matchmaking_UsersInQueue_Single"			"{s:users_in_queue} ve vyhledávání"

		"Citadel_IdleMatchmaking_Removed_Title"						"Byl jsi vyřazen z vyhledávání"
		"Citadel_IdleMatchmaking_Removed_Body"						"Byl jsi příliš dlouho nečinný, a tak jsi byl vyřazen z vyhledávání zápasu."
		"Citadel_IdleMatchmaking_IdleTimerExpired_Title"			"Nečinnost při vyhledávání"
		"Citadel_IdleMatchmaking_IdleTimerExpired_Body"				"Jsi při vyhledávání zápasu už příliš dlouho nečinný. Pohni myší, abychom se ujistili, že tu stále jsi připravený hrát!"
		"Citadel_IdleMatchmaking_Dialog_Title"						"Nečinnost při vyhledávání"
		"Citadel_IdleMatchmaking_Dialog_Body"						"Momentálně vyhledáváš zápas, ale nezdá se, že jsi přítomný u svého počítače. Pohni myší, jinak budeš vyřazen z vyhledávání."
		
		"Citadel_Dashboard_EnterMatchmaking"						"Zahájit\nvyhledávání"
		"Citadel_Dashboard_Roster_HeroTooPopular"					"Všichni tví hrdinové jsou už rozebráni"
		"Citadel_Dashboard_Roster_MissingHeroes"					"<span class=\"rosterErrorText\">Pro vyhledávání zápasů musíš mít na své soupisce nejméně 3 hrdiny</span>"
		"Citadel_Dashboard_Roster_ClearRoster"						"Vymazat soupisku"
		"Citadel_Dashboard_PlayButtonTooltipText"					"Umožňuje zahájit vyhledávání zápasu."
		"Citadel_Dashboard_PlayButtonTooltipTextSteamDeck"			"Vyhledávání standardních zápasů není na zařízení Steam Deck v tuto chvíli podporováno."
		"Citadel_Dashboard_ReadyUpButtonTooltipText"				"Umožňuje ti potvrdit soupisku a povolit skupině vyhledávání."
		"Citadel_Dashboard_ClearReadyUpButtonTooltipText"			"Umožňuje ti zrušit tvoji připravenost a zakázat skupině vyhledávání."
		"Citadel_Dashboard_PartySetModeButtonTooltipText"			"Umožňuje ti vybrat mód, který chceš hrát se svojí skupinou."
		"Citadel_Dashboard_PartyClearModeButtonTooltipText"			"Umožňuje ti změnit mód, který chceš hrát se svojí skupinou."
		"Citadel_Roster_Random"										"Náhodně"
		"Citadel_GC_NoSteam"										"Nelze zahájit vyhledávání zápasu. Chybí spojení se službou Steam."
		"Citadel_GC_steamupdating"									"Nelze zahájit vyhledávání zápasu. Chybí spojení se službou Steam."
		"Citadel_GC_updating"										"Nelze zahájit vyhledávání zápasu. Síť hry Deadlock se aktualizuje."
		"Citadel_GC_noconnection"									"Nelze zahájit vyhledávání zápasu. Chybí spojení se sítí hry Deadlock."
		"Citadel_Dashboard_Status_ConnectingToServer"				"Připojování k hernímu serveru"
		"Citadel_Dashboard_Status_ConnectingToServer_Detail"		"Tvůj zápas zanedlouho začne"
		"Citadel_Dashboard_Status_GCOffline"						"Síť hry je offline"
		"Citadel_Dashboard_Status_GCOffline_Detail"					"Některé funkce nemusí být dostupné"
		"Citadel_Dashboard_Status_OutOfDateClient"					"Je dostupná aktualizace hry"
		"Citadel_Dashboard_Status_OutOfDateClient_Detail"			"Stáhni si ji v klientu služby Steam"
		"Citadel_Dashboard_RejoinTooltip"							"Umožňuje ti připojit se zpět do probíhajícího zápasu."
		"Citadel_Dashboard_AbandonTooltip"							"Umožňuje ti opustit zápas, ve kterém se momentálně nacházíš."
		"Citadel_Dashboard_PatchNotesTooltip"						"Otevře informace o nejnovějších aktualizacích."
		"Citadel_Dashboard_SettingsTooltip"							"Umožňuje ti změnit nastavení hry (obraz, zvuk atd.)."
		"Citadel_Dashboard_ShowAnnounceTooltip"						"Zobrazit oznámení"
		"Citadel_Dashboard_CloseAnnounceTooltip"					"Skrýt oznámení"
		"Citadel_Dashboard_ViewLibrary"								"Přejít do knihovny"

		"Citadel_Watch_Title"										"Sledování zápasů"
		"Citadel_Watch_Featured"									"Vybrané zápasy"
		"Citadel_Watch_Loading"										"Načítání..."

		"Citadel_Watch_Page_NetWorthTeam0"							"{d:net_worth_team_0} tis."
		"Citadel_Watch_Page_NetWorthTeam1"							"{d:net_worth_team_1} tis."
		"Citadel_Watch_Page_Spectators"								"{d:spectators} diváků"
		"Citadel_Watch_Page_FriendInMatch"							"Přítel v zápase"
		"Citadel_Watch_Page_MatchID"								"ID: {s:match_id}"
		"Citadel_Watch_FriendsCheckbox"								"Pouze přátelé"

		"Citadel_ZiplineBoostDesc"									"Zrychlená jízda"
		"Citadel_ZiplineBoost_Cooldown"								"Obnovuje se"

		"citadel_mute_player"									"Kliknutím umlčíš tohoto hráče"
		"citadel_unmute_player"									"Kliknutím zrušíš umlčení tohoto hráče"

		"Citadel_PartyFindMatch_OpenInvitesTitle"				"Nevyřízené pozvánky"
		"Citadel_PartyFindMatch_OpenInvitesBody"				"Máš nevyřízené pozvánky do skupiny, které nebyly přijaty. Chceš je zrušit a pokračovat?"
		"Citadel_PartyFindMatch_SoloPartyTitle"					"Prázdná skupina"
		"Citadel_PartyFindMatch_SoloPartyBody"					"Jsi jediným členem své skupiny. Pozvi do ní přátele, abyste mohli hrát spolu, nebo ji opusť, abys mohl hrát sólo."
		"Citadel_PartyFindMatch_SoloParty_Leave"				"Opustit skupinu"
		"Citadel_PartyFindMatch_SoloParty_Wait"					"Počkat na přátele"
		"Citadel_PartyFindMatch_DevContinue"					"(DEV) Přesto pokračovat"

		"Citadel_PartyFindMatch_LocalNotReady"					"Nejprve se musíš připravit"
		"Citadel_PartyFindMatch_OtherNotReady"					"Člen skupiny se ještě nepřipravil"

		"Citadel_CreateParty_ErrorTitle"						"Nepodařilo se vytvořit skupinu"
		"Citadel_CreateParty_FailedToGetResponse"				"Nepodařilo se navázat spojení se sítí hry Deadlock a vytvořit skupinu. Zkus to znovu za pár minut."
